normalized_title,count,loinc_codes,depths,example_concepts
PHENYTOIN,1,42229-5,1,isotretinoin
SYSTEMIC CORTICOSTEROIDS,1,42229-5,1,isotretinoin
NORETHINDRONE AND ETHINYL ESTRADIOL,1,42229-5,1,isotretinoin
ANIMAL TOXICOLOGY,1,34091-9,1,isotretinoin
NEOPLASTIC DISEASES,1,42229-5,1,methotrexate
RHEUMATOID ARTHRITIS,1,42229-5,1,methotrexate
POLYARTICULAR JUVENILE IDIOPATHIC ARTHRITIS,1,42229-5,1,methotrexate
PSORIASIS,1,42229-5,1,methotrexate
IMPORTANT DOSAGE AND SAFETY INFORMATION,1,42229-5,1,methotrexate
RECOMMENDED DOSAGE FOR NEOPLASTIC DISEASES,1,42229-5,1,methotrexate
RECOMMENDED DOSAGE FOR RHEUMATOID ARTHRITIS,1,42229-5,1,methotrexate
RECOMMENDED DOSAGE FOR POLYARTICULAR JUVENILE IDIOPATHIC ARTHRITIS,1,42229-5,1,methotrexate
RECOMMENDED DOSAGE FOR PSORIASIS,1,42229-5,1,methotrexate
DOSAGE MODIFICATIONS FOR ADVERSE REACTIONS,1,42229-5,1,methotrexate
MYELOSUPPRESSION,1,42229-5,1,methotrexate
GASTROINTESTINAL TOXICITY,1,42229-5,1,methotrexate
PULMONARY TOXICITY,1,42229-5,1,methotrexate
DERMATOLOGIC REACTIONS,1,42229-5,1,methotrexate
RENAL TOXICITY,1,42229-5,1,methotrexate
RISK OF SERIOUS ADVERSE REACTIONS WITH MEDICATION ERROR,1,42229-5,1,methotrexate
SERIOUS INFECTIONS,1,42229-5,1,methotrexate
NEUROTOXICITY,1,42229-5,1,methotrexate
SECONDARY MALIGNANCIES,1,42229-5,1,methotrexate
TUMOR LYSIS SYNDROME,1,42229-5,1,methotrexate
IMMUNIZATION AND RISKS ASSOCIATED WITH LIVE VACCINES,1,42229-5,1,methotrexate
INFERTILITY,1,42229-5,1,methotrexate
INCREASED RISK OF ADVERSE REACTIONS DUE TO THIRD-SPACE ACCUMULATION,1,42229-5,1,methotrexate
EFFECTS OF OTHER DRUGS ON METHOTREXATE,1,42229-5,1,methotrexate
